 
****************************************
Report : area
Design : DEC_LUT_Decoder12bits_clk
Version: U-2022.12-SP6
Date   : Mon May  5 20:19:56 2025
****************************************

Library(s) Used:

    fsa0m_a_generic_core_ss1p62v125c (File: /usr/cad/Library/CBDK018_UMC_Faraday_v1.0/CIC/SynopsysDC/db/fsa0m_a_generic_core_ss1p62v125c.db)

Number of ports:                         2266
Number of nets:                          7052
Number of cells:                         5744
Number of combinational cells:           5660
Number of sequential cells:                41
Number of macros/black boxes:               0
Number of buf/inv:                       1311
Number of references:                      69

Combinational area:              83388.412607
Buf/Inv area:                     8568.201514
Noncombinational area:            2246.731205
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (Wire load has zero net area)

Total cell area:                 85635.143812
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area            Local cell area
                                  -------------------  ----------------------------- 
Hierarchical cell                 Absolute    Percent  Combi-      Noncombi-  Black-
                                  Total       Total    national    national   boxes   Design
--------------------------------  ----------  -------  ----------  ---------  ------  ---------------------------------------
DEC_LUT_Decoder12bits_clk         85635.1438    100.0  32869.7713  2246.7312  0.0000  DEC_LUT_Decoder12bits_clk
div_1111                           9980.6111     11.7   9980.6111     0.0000  0.0000  DEC_LUT_Decoder12bits_clk_DW_div_uns_5
div_1120                          35378.9854     41.3   9121.2912     0.0000  0.0000  DEC_LUT_Decoder12bits_clk_DW_div_tc_1
div_1120/u_div_u_absval_AAbs       1896.7536      2.2    793.6992     0.0000  0.0000  DEC_LUT_Decoder12bits_clk_DW01_absval_1
div_1120/u_div_u_absval_AAbs/NEG   1103.0544      1.3   1103.0544     0.0000  0.0000  DEC_LUT_Decoder12bits_clk_DW01_inc_1
div_1120/u_div_u_add_PartRem_0_1    199.9872      0.2    199.9872     0.0000  0.0000  DEC_LUT_Decoder12bits_clk_DW01_add_100
div_1120/u_div_u_add_PartRem_0_2    190.6128      0.2    190.6128     0.0000  0.0000  DEC_LUT_Decoder12bits_clk_DW01_add_101
div_1120/u_div_u_add_PartRem_0_3    268.7328      0.3    268.7328     0.0000  0.0000  DEC_LUT_Decoder12bits_clk_DW01_add_102
div_1120/u_div_u_add_PartRem_0_4    181.2384      0.2    181.2384     0.0000  0.0000  DEC_LUT_Decoder12bits_clk_DW01_add_103
div_1120/u_div_u_add_PartRem_0_5    249.9840      0.3    249.9840     0.0000  0.0000  DEC_LUT_Decoder12bits_clk_DW01_add_104
