 
****************************************
Report : area
Design : DEC_LUT_Decoder52bits_clk
Version: U-2022.12-SP6
Date   : Sat May 17 18:31:20 2025
****************************************

Library(s) Used:

    fsa0m_a_generic_core_ss1p62v125c (File: /usr/cad/Library/CBDK018_UMC_Faraday_v1.0/CIC/SynopsysDC/db/fsa0m_a_generic_core_ss1p62v125c.db)

Number of ports:                         8585
Number of nets:                         46405
Number of cells:                        41142
Number of combinational cells:          40887
Number of sequential cells:               125
Number of macros/black boxes:               0
Number of buf/inv:                       8299
Number of references:                     317

Combinational area:             741171.310013
Buf/Inv area:                   108274.319214
Noncombinational area:           10111.852402
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (Wire load has zero net area)

Total cell area:                751283.162415
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area              Local cell area
                                  --------------------  ------------------------------- 
Hierarchical cell                 Absolute     Percent  Combi-       Noncombi-   Black-
                                  Total        Total    national     national    boxes   Design
--------------------------------  -----------  -------  -----------  ----------  ------  ---------------------------------------
DEC_LUT_Decoder52bits_clk         751283.1624    100.0  508211.2220  10111.8524  0.0000  DEC_LUT_Decoder52bits_clk
div_9032                           52846.6170      7.0   52846.6170      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW_div_uns_5
div_9041_u_div_u_absval_AAbs_NEG    4399.7184      0.6    4399.7184      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_inc_5
div_9041_u_div_u_add_PartRem_0_1     346.8528      0.0     346.8528      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_571
div_9041_u_div_u_add_PartRem_0_2     568.7136      0.1     568.7136      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_610
div_9041_u_div_u_add_PartRem_0_3     362.4768      0.0     362.4768      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_699
div_9041_u_div_u_add_PartRem_0_4     428.0976      0.1     428.0976      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_643
div_9041_u_div_u_add_PartRem_0_5     334.3536      0.0     334.3536      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_655
div_9041_u_div_u_add_PartRem_0_6     521.8416      0.1     521.8416      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_674
div_9041_u_div_u_add_PartRem_0_7     346.8528      0.0     346.8528      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_523
div_9041_u_div_u_add_PartRem_10_1   1106.1792      0.1    1106.1792      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_410
div_9041_u_div_u_add_PartRem_10_2   1174.9248      0.2    1174.9248      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_625
div_9041_u_div_u_add_PartRem_10_3   1353.0384      0.2    1353.0384      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_652
div_9041_u_div_u_add_PartRem_10_4   1262.4192      0.2    1262.4192      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_613
div_9041_u_div_u_add_PartRem_10_5   1290.5424      0.2    1290.5424      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_667
div_9041_u_div_u_add_PartRem_10_6   1221.7968      0.2    1221.7968      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_648
div_9041_u_div_u_add_PartRem_10_7   1324.9152      0.2    1324.9152      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_455
div_9041_u_div_u_add_PartRem_11_1   1034.3088      0.1    1034.3088      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_403
div_9041_u_div_u_add_PartRem_11_2   1293.6672      0.2    1293.6672      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_632
div_9041_u_div_u_add_PartRem_11_3   1231.1712      0.2    1231.1712      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_449
div_9041_u_div_u_add_PartRem_11_4   1306.1664      0.2    1306.1664      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_614
div_9041_u_div_u_add_PartRem_11_5   1246.7952      0.2    1246.7952      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_489
div_9041_u_div_u_add_PartRem_11_6   1309.2912      0.2    1309.2912      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_631
div_9041_u_div_u_add_PartRem_11_7   1409.2848      0.2    1409.2848      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_525
div_9041_u_div_u_add_PartRem_12_1   1199.9232      0.2    1199.9232      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_483
div_9041_u_div_u_add_PartRem_12_2   1037.4336      0.1    1037.4336      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_405
div_9041_u_div_u_add_PartRem_12_3   1168.6752      0.2    1168.6752      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_434
div_9041_u_div_u_add_PartRem_12_4   1187.4240      0.2    1187.4240      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_657
div_9041_u_div_u_add_PartRem_12_5   1468.6560      0.2    1468.6560      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_352
div_9041_u_div_u_add_PartRem_12_6   1449.9072      0.2    1449.9072      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_314
div_9041_u_div_u_add_PartRem_12_7   1299.9168      0.2    1299.9168      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_529
div_9041_u_div_u_add_PartRem_13_1   1243.6704      0.2    1243.6704      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_630
div_9041_u_div_u_add_PartRem_13_2   1406.1600      0.2    1406.1600      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_609
div_9041_u_div_u_add_PartRem_13_3   1218.6720      0.2    1218.6720      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_519
div_9041_u_div_u_add_PartRem_13_4   1240.5456      0.2    1240.5456      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_647
div_9041_u_div_u_add_PartRem_13_5   1315.5408      0.2    1315.5408      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_537
div_9041_u_div_u_add_PartRem_13_6   1437.4080      0.2    1437.4080      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_453
div_9041_u_div_u_add_PartRem_13_7   1287.4176      0.2    1287.4176      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_536
div_9041_u_div_u_add_PartRem_14_1   1074.9312      0.1    1074.9312      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_665
div_9041_u_div_u_add_PartRem_14_2   1312.4160      0.2    1312.4160      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_635
div_9041_u_div_u_add_PartRem_14_3   1140.5520      0.2    1140.5520      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_530
div_9041_u_div_u_add_PartRem_14_4   1418.6592      0.2    1418.6592      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_622
div_9041_u_div_u_add_PartRem_14_5   1253.0448      0.2    1253.0448      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_642
div_9041_u_div_u_add_PartRem_14_6   1518.6528      0.2    1518.6528      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_616
div_9041_u_div_u_add_PartRem_14_7   1343.6640      0.2    1343.6640      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_531
div_9041_u_div_u_add_PartRem_15_1   1203.0480      0.2    1203.0480      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_382
div_9041_u_div_u_add_PartRem_15_2   1384.2864      0.2    1384.2864      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_605
div_9041_u_div_u_add_PartRem_15_3   1224.9216      0.2    1224.9216      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_651
div_9041_u_div_u_add_PartRem_15_4   1224.9216      0.2    1224.9216      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_359
div_9041_u_div_u_add_PartRem_15_5   1134.3024      0.2    1134.3024      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_326
div_9041_u_div_u_add_PartRem_15_6   1315.5408      0.2    1315.5408      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_690
div_9041_u_div_u_add_PartRem_15_7   1209.2976      0.2    1209.2976      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_533
div_9041_u_div_u_add_PartRem_16_1   1171.8000      0.2    1171.8000      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_678
div_9041_u_div_u_add_PartRem_16_2   1290.5424      0.2    1290.5424      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_611
div_9041_u_div_u_add_PartRem_16_3   1378.0368      0.2    1378.0368      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_490
div_9041_u_div_u_add_PartRem_16_4   1418.6592      0.2    1418.6592      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_621
div_9041_u_div_u_add_PartRem_16_5   1228.0464      0.2    1228.0464      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_662
div_9041_u_div_u_add_PartRem_16_6   1462.4064      0.2    1462.4064      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_628
div_9041_u_div_u_add_PartRem_16_7   1249.9200      0.2    1249.9200      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_481
div_9041_u_div_u_add_PartRem_17_1   1246.7952      0.2    1246.7952      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_347
div_9041_u_div_u_add_PartRem_17_2   1184.2992      0.2    1184.2992      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_612
div_9041_u_div_u_add_PartRem_17_3   1128.0528      0.2    1128.0528      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_474
div_9041_u_div_u_add_PartRem_17_4   1015.5600      0.1    1015.5600      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_484
div_9041_u_div_u_add_PartRem_17_5   1278.0432      0.2    1278.0432      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_432
div_9041_u_div_u_add_PartRem_1_1    1049.9328      0.1    1049.9328      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_406
div_9041_u_div_u_add_PartRem_1_2    1149.9264      0.2    1149.9264      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_606
div_9041_u_div_u_add_PartRem_1_3    1206.1728      0.2    1206.1728      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_467
div_9041_u_div_u_add_PartRem_1_4    1256.1696      0.2    1256.1696      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_392
div_9041_u_div_u_add_PartRem_1_5    1228.0464      0.2    1228.0464      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_499
div_9041_u_div_u_add_PartRem_1_6    1315.5408      0.2    1315.5408      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_419
div_9041_u_div_u_add_PartRem_1_7    1190.5488      0.2    1190.5488      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_516
div_9041_u_div_u_add_PartRem_2_1    1321.7904      0.2    1321.7904      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_540
div_9041_u_div_u_add_PartRem_2_2    1246.7952      0.2    1246.7952      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_607
div_9041_u_div_u_add_PartRem_2_3    1274.9184      0.2    1274.9184      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_653
div_9041_u_div_u_add_PartRem_2_4    1234.2960      0.2    1234.2960      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_666
div_9041_u_div_u_add_PartRem_2_5    1118.6784      0.1    1118.6784      0.0000  0.0000  DEC_LUT_Decoder52bits_clk_DW01_add_521
