 
****************************************
Report : area
Design : Tradeoff_16bits
Version: U-2022.12-SP6
Date   : Wed Apr 30 18:47:06 2025
****************************************

Library(s) Used:

    fsa0m_a_generic_core_ss1p62v125c (File: /usr/cad/Library/CBDK018_UMC_Faraday_v1.0/CIC/SynopsysDC/db/fsa0m_a_generic_core_ss1p62v125c.db)

Number of ports:                         2923
Number of nets:                          6801
Number of cells:                         4911
Number of combinational cells:           4732
Number of sequential cells:               126
Number of macros/black boxes:               0
Number of buf/inv:                       1207
Number of references:                      45

Combinational area:              75563.913160
Buf/Inv area:                     7674.508718
Noncombinational area:            7390.152008
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (Wire load has zero net area)

Total cell area:                 82954.065168
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area            Local cell area
                                  -------------------  ----------------------------- 
Hierarchical cell                 Absolute    Percent  Combi-      Noncombi-  Black-
                                  Total       Total    national    national   boxes   Design
--------------------------------  ----------  -------  ----------  ---------  ------  -----------------------------
Tradeoff_16bits                   82954.0652    100.0   6640.2000  7390.1520  0.0000  Tradeoff_16bits
div_118                           39081.8734     47.1  10493.0785     0.0000  0.0000  Tradeoff_16bits_DW_div_uns_2
div_118/u_div_u_add_PartRem_0_1     228.1104      0.3    228.1104     0.0000  0.0000  Tradeoff_16bits_DW01_add_117
div_118/u_div_u_add_PartRem_0_2     199.9872      0.2    199.9872     0.0000  0.0000  Tradeoff_16bits_DW01_add_118
div_118/u_div_u_add_PartRem_0_3     281.2320      0.3    281.2320     0.0000  0.0000  Tradeoff_16bits_DW01_add_119
div_118/u_div_u_add_PartRem_0_4     196.8624      0.2    196.8624     0.0000  0.0000  Tradeoff_16bits_DW01_add_120
div_118/u_div_u_add_PartRem_0_5     296.8560      0.4    296.8560     0.0000  0.0000  Tradeoff_16bits_DW01_add_121
div_118/u_div_u_add_PartRem_0_6     309.3552      0.4    309.3552     0.0000  0.0000  Tradeoff_16bits_DW01_add_122
div_118/u_div_u_add_PartRem_0_7     290.6064      0.4    290.6064     0.0000  0.0000  Tradeoff_16bits_DW01_add_123
div_118/u_div_u_add_PartRem_1_1     771.8256      0.9    771.8256     0.0000  0.0000  Tradeoff_16bits_DW01_add_110
