 
****************************************
Report : area
Design : Tradeoff_24bits
Version: U-2022.12-SP6
Date   : Wed Apr 30 20:32:14 2025
****************************************

Library(s) Used:

    fsa0m_a_generic_core_ss1p62v125c (File: /usr/cad/Library/CBDK018_UMC_Faraday_v1.0/CIC/SynopsysDC/db/fsa0m_a_generic_core_ss1p62v125c.db)

Number of ports:                         4189
Number of nets:                         10279
Number of cells:                         7556
Number of combinational cells:           7326
Number of sequential cells:               157
Number of macros/black boxes:               0
Number of buf/inv:                       1853
Number of references:                      49

Combinational area:             115789.463314
Buf/Inv area:                    12742.934271
Noncombinational area:            9149.414429
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (Wire load has zero net area)

Total cell area:                124938.877742
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area             Local cell area
                                  --------------------  ------------------------------ 
Hierarchical cell                 Absolute     Percent  Combi-       Noncombi-  Black-
                                  Total        Total    national     national   boxes   Design
--------------------------------  -----------  -------  -----------  ---------  ------  -----------------------------
Tradeoff_24bits                   124938.8777    100.0    7530.7680  9149.4144  0.0000  Tradeoff_24bits
add_0_root_add_46_C113_2_ni          237.4848      0.2     237.4848     0.0000  0.0000  Tradeoff_24bits_DW01_inc_2
add_0_root_add_46_C113_ni            237.4848      0.2     237.4848     0.0000  0.0000  Tradeoff_24bits_DW01_inc_1
div_118                            64717.7325     51.8   18055.0945     0.0000  0.0000  Tradeoff_24bits_DW_div_uns_2
div_118/u_div_u_add_PartRem_0_1      271.8576      0.2     271.8576     0.0000  0.0000  Tradeoff_24bits_DW01_add_156
div_118/u_div_u_add_PartRem_0_2      253.1088      0.2     253.1088     0.0000  0.0000  Tradeoff_24bits_DW01_add_157
div_118/u_div_u_add_PartRem_0_3      284.3568      0.2     284.3568     0.0000  0.0000  Tradeoff_24bits_DW01_add_158
div_118/u_div_u_add_PartRem_0_4      212.4864      0.2     212.4864     0.0000  0.0000  Tradeoff_24bits_DW01_add_159
div_118/u_div_u_add_PartRem_0_5      237.4848      0.2     237.4848     0.0000  0.0000  Tradeoff_24bits_DW01_add_160
div_118/u_div_u_add_PartRem_0_6      293.7312      0.2     293.7312     0.0000  0.0000  Tradeoff_24bits_DW01_add_161
div_118/u_div_u_add_PartRem_0_7      343.7280      0.3     343.7280     0.0000  0.0000  Tradeoff_24bits_DW01_add_162
div_118/u_div_u_add_PartRem_1_1      903.0672      0.7     903.0672     0.0000  0.0000  Tradeoff_24bits_DW01_add_149
div_118/u_div_u_add_PartRem_1_2      821.8224      0.7     821.8224     0.0000  0.0000  Tradeoff_24bits_DW01_add_150
div_118/u_div_u_add_PartRem_1_3      906.1920      0.7     906.1920     0.0000  0.0000  Tradeoff_24bits_DW01_add_151
div_118/u_div_u_add_PartRem_1_4      774.9504      0.6     774.9504     0.0000  0.0000  Tradeoff_24bits_DW01_add_152
div_118/u_div_u_add_PartRem_1_5      859.3200      0.7     859.3200     0.0000  0.0000  Tradeoff_24bits_DW01_add_153
div_118/u_div_u_add_PartRem_1_6      840.5712      0.7     840.5712     0.0000  0.0000  Tradeoff_24bits_DW01_add_154
div_118/u_div_u_add_PartRem_1_7      909.3168      0.7     909.3168     0.0000  0.0000  Tradeoff_24bits_DW01_add_155
div_118/u_div_u_add_PartRem_2_1      903.0672      0.7     903.0672     0.0000  0.0000  Tradeoff_24bits_DW01_add_142
div_118/u_div_u_add_PartRem_2_2      824.9472      0.7     824.9472     0.0000  0.0000  Tradeoff_24bits_DW01_add_143
div_118/u_div_u_add_PartRem_2_3      918.6912      0.7     918.6912     0.0000  0.0000  Tradeoff_24bits_DW01_add_144
div_118/u_div_u_add_PartRem_2_4      790.5744      0.6     790.5744     0.0000  0.0000  Tradeoff_24bits_DW01_add_145
div_118/u_div_u_add_PartRem_2_5      853.0704      0.7     853.0704     0.0000  0.0000  Tradeoff_24bits_DW01_add_146
div_118/u_div_u_add_PartRem_2_6      831.1968      0.7     831.1968     0.0000  0.0000  Tradeoff_24bits_DW01_add_147
div_118/u_div_u_add_PartRem_2_7      940.5648      0.8     940.5648     0.0000  0.0000  Tradeoff_24bits_DW01_add_148
