 
****************************************
Report : area
Design : Tradeoff_28bits
Version: U-2022.12-SP6
Date   : Wed Apr 30 20:45:48 2025
****************************************

Library(s) Used:

    fsa0m_a_generic_core_ss1p62v125c (File: /usr/cad/Library/CBDK018_UMC_Faraday_v1.0/CIC/SynopsysDC/db/fsa0m_a_generic_core_ss1p62v125c.db)

Number of ports:                         5097
Number of nets:                         12889
Number of cells:                         9583
Number of combinational cells:           9326
Number of sequential cells:               173
Number of macros/black boxes:               0
Number of buf/inv:                       2559
Number of references:                      52

Combinational area:             153687.037447
Buf/Inv area:                    21136.147003
Noncombinational area:           10139.976013
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (Wire load has zero net area)

Total cell area:                163827.013461
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area              Local cell area
                                  --------------------  ------------------------------- 
Hierarchical cell                 Absolute     Percent  Combi-       Noncombi-   Black-
                                  Total        Total    national     national    boxes   Design
--------------------------------  -----------  -------  -----------  ----------  ------  -----------------------------
Tradeoff_28bits                   163827.0135    100.0    8130.7296  10139.9760  0.0000  Tradeoff_28bits
add_0_root_add_46_C113_2_ni          237.4848      0.1     237.4848      0.0000  0.0000  Tradeoff_28bits_DW01_inc_2
add_0_root_add_46_C113_ni            237.4848      0.1     237.4848      0.0000  0.0000  Tradeoff_28bits_DW01_inc_1
div_118                            93781.4971     57.2   29935.5840      0.0000  0.0000  Tradeoff_28bits_DW_div_uns_2
div_118/u_div_u_add_PartRem_0_1      315.6048      0.2     315.6048      0.0000  0.0000  Tradeoff_28bits_DW01_add_180
div_118/u_div_u_add_PartRem_0_2      318.7296      0.2     318.7296      0.0000  0.0000  Tradeoff_28bits_DW01_add_181
div_118/u_div_u_add_PartRem_0_3      306.2304      0.2     306.2304      0.0000  0.0000  Tradeoff_28bits_DW01_add_182
div_118/u_div_u_add_PartRem_0_4      315.6048      0.2     315.6048      0.0000  0.0000  Tradeoff_28bits_DW01_add_183
div_118/u_div_u_add_PartRem_0_5      303.1056      0.2     303.1056      0.0000  0.0000  Tradeoff_28bits_DW01_add_184
div_118/u_div_u_add_PartRem_0_6      290.6064      0.2     290.6064      0.0000  0.0000  Tradeoff_28bits_DW01_add_185
div_118/u_div_u_add_PartRem_0_7      278.1072      0.2     278.1072      0.0000  0.0000  Tradeoff_28bits_DW01_add_186
div_118/u_div_u_add_PartRem_1_1     1006.1856      0.6    1006.1856      0.0000  0.0000  Tradeoff_28bits_DW01_add_173
div_118/u_div_u_add_PartRem_1_2      903.0672      0.6     903.0672      0.0000  0.0000  Tradeoff_28bits_DW01_add_174
div_118/u_div_u_add_PartRem_1_3      999.9360      0.6     999.9360      0.0000  0.0000  Tradeoff_28bits_DW01_add_175
div_118/u_div_u_add_PartRem_1_4      893.6928      0.5     893.6928      0.0000  0.0000  Tradeoff_28bits_DW01_add_176
div_118/u_div_u_add_PartRem_1_5      990.5616      0.6     990.5616      0.0000  0.0000  Tradeoff_28bits_DW01_add_177
div_118/u_div_u_add_PartRem_1_6     1024.9344      0.6    1024.9344      0.0000  0.0000  Tradeoff_28bits_DW01_add_178
div_118/u_div_u_add_PartRem_1_7      953.0640      0.6     953.0640      0.0000  0.0000  Tradeoff_28bits_DW01_add_179
div_118/u_div_u_add_PartRem_2_1      993.6864      0.6     993.6864      0.0000  0.0000  Tradeoff_28bits_DW01_add_166
div_118/u_div_u_add_PartRem_2_2      962.4384      0.6     962.4384      0.0000  0.0000  Tradeoff_28bits_DW01_add_167
div_118/u_div_u_add_PartRem_2_3     1028.0592      0.6    1028.0592      0.0000  0.0000  Tradeoff_28bits_DW01_add_168
div_118/u_div_u_add_PartRem_2_4      915.5664      0.6     915.5664      0.0000  0.0000  Tradeoff_28bits_DW01_add_169
div_118/u_div_u_add_PartRem_2_5      965.5632      0.6     965.5632      0.0000  0.0000  Tradeoff_28bits_DW01_add_170
div_118/u_div_u_add_PartRem_2_6      996.8112      0.6     996.8112      0.0000  0.0000  Tradeoff_28bits_DW01_add_171
div_118/u_div_u_add_PartRem_2_7      987.4368      0.6     987.4368      0.0000  0.0000  Tradeoff_28bits_DW01_add_172
div_118/u_div_u_add_PartRem_3_1      990.5616      0.6     990.5616      0.0000  0.0000  Tradeoff_28bits_DW01_add_159
div_118/u_div_u_add_PartRem_3_2      968.6880      0.6     968.6880      0.0000  0.0000  Tradeoff_28bits_DW01_add_160
div_118/u_div_u_add_PartRem_3_3     1015.5600      0.6    1015.5600      0.0000  0.0000  Tradeoff_28bits_DW01_add_161
div_118/u_div_u_add_PartRem_3_4      956.1888      0.6     956.1888      0.0000  0.0000  Tradeoff_28bits_DW01_add_162
div_118/u_div_u_add_PartRem_3_5      984.3120      0.6     984.3120      0.0000  0.0000  Tradeoff_28bits_DW01_add_163
div_118/u_div_u_add_PartRem_3_6     1006.1856      0.6    1006.1856      0.0000  0.0000  Tradeoff_28bits_DW01_add_164
div_118/u_div_u_add_PartRem_3_7     1012.4352      0.6    1012.4352      0.0000  0.0000  Tradeoff_28bits_DW01_add_165
div_118/u_div_u_add_PartRem_4_1      978.0624      0.6     978.0624      0.0000  0.0000  Tradeoff_28bits_DW01_add_152
div_118/u_div_u_add_PartRem_4_2      940.5648      0.6     940.5648      0.0000  0.0000  Tradeoff_28bits_DW01_add_153
div_118/u_div_u_add_PartRem_4_3     1012.4352      0.6    1012.4352      0.0000  0.0000  Tradeoff_28bits_DW01_add_154
div_118/u_div_u_add_PartRem_4_4      940.5648      0.6     940.5648      0.0000  0.0000  Tradeoff_28bits_DW01_add_155
