 
****************************************
Report : timing
        -path full
        -delay max
        -max_paths 1
Design : Tradeoff_12bits
Version: U-2022.12-SP6
Date   : Wed Apr 30 18:52:17 2025
****************************************

Operating Conditions: WCCOM   Library: fsa0m_a_generic_core_ss1p62v125c
Wire Load Model Mode: enclosed

  Startpoint: W_new_reg_13_
              (rising edge-triggered flip-flop clocked by clk)
  Endpoint: N_reg_0_ (rising edge-triggered flip-flop clocked by clk)
  Path Group: clk
  Path Type: max

  Des/Clust/Port     Wire Load Model       Library
  ------------------------------------------------
  Tradeoff_12bits    enG10K                fsa0m_a_generic_core_ss1p62v125c
  Tradeoff_12bits_DW_div_uns_0
                     enG5K                 fsa0m_a_generic_core_ss1p62v125c

  Point                                                   Incr       Path
  --------------------------------------------------------------------------
  clock clk (rise edge)                                   0.00       0.00
  clock network delay (ideal)                             1.00       1.00
  W_new_reg_13_/CK (DFFP)                                 0.00       1.00 r
  W_new_reg_13_/Q (DFFP)                                  0.45       1.45 f
  div_118/a[13] (Tradeoff_12bits_DW_div_uns_0)            0.00       1.45 f
  div_118/U24/O (OR2T)                                    0.19       1.65 f
  div_118/u_div_u_add_PartRem_1_13_U16/C (HA1)            0.21       1.86 f
  div_118/U116/O (OR2)                                    0.22       2.08 f
  div_118/u_div_u_add_PartRem_1_13_U13/C (HA1)            0.23       2.30 f
  div_118/U30/O (OR2)                                     0.26       2.56 f
  div_118/U36/O (NR2P)                                    0.16       2.73 r
  div_118/U115/O (ND2)                                    0.12       2.85 f
  div_118/u_div_u_add_PartRem_1_13_U6/C (HA1)             0.25       3.10 f
  div_118/U114/O (OR2)                                    0.22       3.32 f
  div_118/U27/C (HA1P)                                    0.19       3.51 f
  div_118/U101/C (HA1P)                                   0.28       3.79 f
  div_118/u_div_u_mx_PartRem_0_13_0/O (MUX2)              0.37       4.16 f
  div_118/U125/O (OR2)                                    0.24       4.39 f
  div_118/u_div_u_add_PartRem_0_12_U18/C (HA1)            0.23       4.62 f
  div_118/U124/O (OR2)                                    0.22       4.84 f
  div_118/u_div_u_add_PartRem_0_12_U15/C (HA1)            0.23       5.07 f
  div_118/U120/O (OR2)                                    0.27       5.34 f
  div_118/U23/O (INV3CK)                                  0.08       5.42 r
  div_118/U22/O (ND2P)                                    0.07       5.49 f
  div_118/u_div_u_add_PartRem_0_12_U8/C (HA1)             0.22       5.71 f
  div_118/U126/O (OR2)                                    0.22       5.93 f
  div_118/u_div_u_add_PartRem_0_12_U5/C (HA1)             0.21       6.14 f
  div_118/U16/C (HA1P)                                    0.19       6.33 f
  div_118/U49/O (OR2T)                                    0.29       6.62 f
  div_118/u_div_u_mx_PartRem_0_12_0/O (MUX2T)             0.38       7.00 f
  div_118/U7/O (OR2T)                                     0.18       7.18 f
  div_118/u_div_u_add_PartRem_0_11_U18/C (HA1)            0.22       7.40 f
  div_118/U133/O (OR2)                                    0.22       7.62 f
  div_118/U2/C (HA1P)                                     0.21       7.83 f
  div_118/U1/O (OR2T)                                     0.18       8.01 f
  div_118/U35/O (NR2P)                                    0.15       8.16 r
  div_118/U57/O (ND2)                                     0.12       8.28 f
  div_118/u_div_u_add_PartRem_0_11_U8/C (HA1)             0.25       8.53 f
  div_118/U134/O (OR2)                                    0.22       8.75 f
  div_118/u_div_u_add_PartRem_0_11_U5/C (HA1)             0.21       8.96 f
  div_118/U45/C (HA1)                                     0.21       9.17 f
  div_118/U102/O (OR2T)                                   0.30       9.47 f
  div_118/u_div_u_mx_PartRem_0_11_0/O (MUX2)              0.36       9.83 f
  div_118/U142/O (OR2)                                    0.24      10.07 f
  div_118/u_div_u_add_PartRem_0_10_U18/C (HA1)            0.23      10.30 f
  div_118/U141/O (OR2)                                    0.22      10.52 f
  div_118/u_div_u_add_PartRem_0_10_U15/C (HA1)            0.23      10.74 f
  div_118/U65/O (OR2)                                     0.24      10.99 f
  div_118/U61/O (INV1S)                                   0.13      11.11 r
  div_118/U73/O (ND2S)                                    0.12      11.23 f
  div_118/u_div_u_add_PartRem_0_10_U8/C (HA1)             0.24      11.47 f
  div_118/U143/O (OR2)                                    0.22      11.69 f
  div_118/u_div_u_add_PartRem_0_10_U5/C (HA1)             0.21      11.90 f
  div_118/U17/C (HA1P)                                    0.19      12.09 f
  div_118/U50/O (OR2T)                                    0.29      12.39 f
  div_118/u_div_u_mx_PartRem_0_10_0/O (MUX2T)             0.38      12.76 f
  div_118/U21/O (OR2T)                                    0.18      12.95 f
  div_118/u_div_u_add_PartRem_0_9_U18/C (HA1)             0.22      13.16 f
  div_118/U150/O (OR2)                                    0.22      13.38 f
  div_118/u_div_u_add_PartRem_0_9_U15/C (HA1)             0.23      13.61 f
  div_118/U55/O (OR2)                                     0.26      13.87 f
  div_118/U47/O (NR2P)                                    0.18      14.06 r
  div_118/U46/O (ND2P)                                    0.07      14.13 f
  div_118/u_div_u_add_PartRem_0_9_U8/C (HA1)              0.23      14.35 f
  div_118/U151/O (OR2)                                    0.22      14.58 f
  div_118/u_div_u_add_PartRem_0_9_U5/C (HA1)              0.21      14.79 f
  div_118/U12/C (HA1P)                                    0.19      14.97 f
  div_118/U103/O (OR2T)                                   0.29      15.27 f
  div_118/u_div_u_mx_PartRem_0_9_0/O (MUX2T)              0.38      15.65 f
  div_118/U6/O (OR2T)                                     0.18      15.83 f
  div_118/u_div_u_add_PartRem_0_8_U18/C (HA1)             0.22      16.04 f
  div_118/U158/O (OR2)                                    0.22      16.27 f
  div_118/U5/C (HA1P)                                     0.21      16.47 f
  div_118/U4/O (OR2T)                                     0.18      16.65 f
  div_118/U34/O (NR2P)                                    0.15      16.80 r
  div_118/U56/O (ND2)                                     0.12      16.93 f
  div_118/u_div_u_add_PartRem_0_8_U8/C (HA1)              0.25      17.17 f
  div_118/U159/O (OR2)                                    0.22      17.39 f
  div_118/u_div_u_add_PartRem_0_8_U5/C (HA1)              0.21      17.60 f
  div_118/U13/C (HA1P)                                    0.19      17.79 f
  div_118/U51/O (OR2T)                                    0.29      18.08 f
  div_118/u_div_u_mx_PartRem_0_8_0/O (MUX2T)              0.38      18.46 f
  div_118/U10/O (OR2T)                                    0.18      18.65 f
  div_118/u_div_u_add_PartRem_0_7_U18/C (HA1)             0.22      18.86 f
  div_118/U166/O (OR2)                                    0.22      19.08 f
  div_118/u_div_u_add_PartRem_0_7_U15/C (HA1)             0.23      19.31 f
  div_118/U29/O (OR2)                                     0.26      19.57 f
  div_118/U33/O (NR2P)                                    0.16      19.73 r
  div_118/U69/O (ND2S)                                    0.12      19.85 f
  div_118/u_div_u_add_PartRem_0_7_U8/C (HA1)              0.25      20.10 f
  div_118/U167/O (OR2)                                    0.22      20.32 f
  div_118/u_div_u_add_PartRem_0_7_U5/C (HA1)              0.21      20.53 f
  div_118/U44/C (HA1)                                     0.21      20.75 f
  div_118/U104/O (OR2T)                                   0.30      21.04 f
  div_118/u_div_u_mx_PartRem_0_7_0/O (MUX2)               0.36      21.41 f
  div_118/U175/O (OR2)                                    0.24      21.64 f
  div_118/u_div_u_add_PartRem_0_6_U18/C (HA1)             0.23      21.87 f
  div_118/U174/O (OR2)                                    0.22      22.09 f
  div_118/u_div_u_add_PartRem_0_6_U15/C (HA1)             0.23      22.32 f
  div_118/U28/O (OR2)                                     0.26      22.58 f
  div_118/U32/O (NR2P)                                    0.16      22.74 r
