 
****************************************
Report : area
Design : Tradeoff_30bits
Version: U-2022.12-SP6
Date   : Wed Apr 30 21:30:17 2025
****************************************

Library(s) Used:

    fsa0m_a_generic_core_ss1p62v125c (File: /usr/cad/Library/CBDK018_UMC_Faraday_v1.0/CIC/SynopsysDC/db/fsa0m_a_generic_core_ss1p62v125c.db)

Number of ports:                         5305
Number of nets:                         13315
Number of cells:                         9869
Number of combinational cells:           9603
Number of sequential cells:               179
Number of macros/black boxes:               0
Number of buf/inv:                       2511
Number of references:                      51

Combinational area:             155218.189386
Buf/Inv area:                    18645.681407
Noncombinational area:           10455.580814
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (Wire load has zero net area)

Total cell area:                165673.770201
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area              Local cell area
                                  --------------------  ------------------------------- 
Hierarchical cell                 Absolute     Percent  Combi-       Noncombi-   Black-
                                  Total        Total    national     national    boxes   Design
--------------------------------  -----------  -------  -----------  ----------  ------  -----------------------------
Tradeoff_30bits                   165673.7702    100.0    8324.4672  10455.5808  0.0000  Tradeoff_30bits
add_0_root_add_46_C113_2_ni          237.4848      0.1     237.4848      0.0000  0.0000  Tradeoff_30bits_DW01_inc_2
add_0_root_add_46_C113_ni            237.4848      0.1     237.4848      0.0000  0.0000  Tradeoff_30bits_DW01_inc_1
div_118                            92378.4619     55.8   27082.6417      0.0000  0.0000  Tradeoff_30bits_DW_div_uns_2
div_118/u_div_u_add_PartRem_0_1      315.6048      0.2     315.6048      0.0000  0.0000  Tradeoff_30bits_DW01_add_191
div_118/u_div_u_add_PartRem_0_2      271.8576      0.2     271.8576      0.0000  0.0000  Tradeoff_30bits_DW01_add_192
div_118/u_div_u_add_PartRem_0_3      281.2320      0.2     281.2320      0.0000  0.0000  Tradeoff_30bits_DW01_add_193
div_118/u_div_u_add_PartRem_0_4      268.7328      0.2     268.7328      0.0000  0.0000  Tradeoff_30bits_DW01_add_194
div_118/u_div_u_add_PartRem_0_5      346.8528      0.2     346.8528      0.0000  0.0000  Tradeoff_30bits_DW01_add_195
div_118/u_div_u_add_PartRem_0_6      299.9808      0.2     299.9808      0.0000  0.0000  Tradeoff_30bits_DW01_add_196
div_118/u_div_u_add_PartRem_0_7      268.7328      0.2     268.7328      0.0000  0.0000  Tradeoff_30bits_DW01_add_197
