 
****************************************
Report : area
Design : Tradeoff_52bits
Version: U-2022.12-SP6
Date   : Sun May 11 17:04:07 2025
****************************************

Library(s) Used:

    fsa0m_a_generic_core_ss1p62v125c (File: /usr/cad/Library/CBDK018_UMC_Faraday_v1.0/CIC/SynopsysDC/db/fsa0m_a_generic_core_ss1p62v125c.db)

Number of ports:                         8963
Number of nets:                         20952
Number of cells:                        15160
Number of combinational cells:          14769
Number of sequential cells:               252
Number of macros/black boxes:               0
Number of buf/inv:                       3649
Number of references:                     263

Combinational area:             268173.458896
Buf/Inv area:                    37606.967624
Noncombinational area:           16667.683044
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (Wire load has zero net area)

Total cell area:                284841.141941
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area              Local cell area
                                  --------------------  ------------------------------- 
Hierarchical cell                 Absolute     Percent  Combi-       Noncombi-   Black-
                                  Total        Total    national     national    boxes   Design
--------------------------------  -----------  -------  -----------  ----------  ------  -----------------------------
Tradeoff_52bits                   284841.1419    100.0   69195.5711  16667.6830  0.0000  Tradeoff_52bits
add_0_root_add_46_C113_2_ni          278.1072      0.1     278.1072      0.0000  0.0000  Tradeoff_52bits_DW01_inc_1
add_0_root_add_46_C113_ni            278.1072      0.1     278.1072      0.0000  0.0000  Tradeoff_52bits_DW01_inc_2
div_118_u_div_u_add_PartRem_0_1      265.6080      0.1     265.6080      0.0000  0.0000  Tradeoff_52bits_DW01_add_337
div_118_u_div_u_add_PartRem_0_2      299.9808      0.1     299.9808      0.0000  0.0000  Tradeoff_52bits_DW01_add_341
div_118_u_div_u_add_PartRem_0_3      256.2336      0.1     256.2336      0.0000  0.0000  Tradeoff_52bits_DW01_add_339
div_118_u_div_u_add_PartRem_0_4      293.7312      0.1     293.7312      0.0000  0.0000  Tradeoff_52bits_DW01_add_293
div_118_u_div_u_add_PartRem_0_5      265.6080      0.1     265.6080      0.0000  0.0000  Tradeoff_52bits_DW01_add_383
div_118_u_div_u_add_PartRem_0_6      278.1072      0.1     278.1072      0.0000  0.0000  Tradeoff_52bits_DW01_add_368
div_118_u_div_u_add_PartRem_0_7      293.7312      0.1     293.7312      0.0000  0.0000  Tradeoff_52bits_DW01_add_403
div_118_u_div_u_add_PartRem_10_1     865.5696      0.3     865.5696      0.0000  0.0000  Tradeoff_52bits_DW01_add_356
div_118_u_div_u_add_PartRem_10_2     899.9424      0.3     899.9424      0.0000  0.0000  Tradeoff_52bits_DW01_add_370
div_118_u_div_u_add_PartRem_10_3     840.5712      0.3     840.5712      0.0000  0.0000  Tradeoff_52bits_DW01_add_320
div_118_u_div_u_add_PartRem_10_4     937.4400      0.3     937.4400      0.0000  0.0000  Tradeoff_52bits_DW01_add_343
div_118_u_div_u_add_PartRem_10_5     934.3152      0.3     934.3152      0.0000  0.0000  Tradeoff_52bits_DW01_add_398
div_118_u_div_u_add_PartRem_10_6     940.5648      0.3     940.5648      0.0000  0.0000  Tradeoff_52bits_DW01_add_303
div_118_u_div_u_add_PartRem_10_7     915.5664      0.3     915.5664      0.0000  0.0000  Tradeoff_52bits_DW01_add_333
div_118_u_div_u_add_PartRem_11_1     890.5680      0.3     890.5680      0.0000  0.0000  Tradeoff_52bits_DW01_add_357
div_118_u_div_u_add_PartRem_11_2     856.1952      0.3     856.1952      0.0000  0.0000  Tradeoff_52bits_DW01_add_371
div_118_u_div_u_add_PartRem_11_3     853.0704      0.3     853.0704      0.0000  0.0000  Tradeoff_52bits_DW01_add_321
div_118_u_div_u_add_PartRem_11_4     953.0640      0.3     953.0640      0.0000  0.0000  Tradeoff_52bits_DW01_add_344
div_118_u_div_u_add_PartRem_11_5     887.4432      0.3     887.4432      0.0000  0.0000  Tradeoff_52bits_DW01_add_399
div_118_u_div_u_add_PartRem_11_6     987.4368      0.3     987.4368      0.0000  0.0000  Tradeoff_52bits_DW01_add_304
div_118_u_div_u_add_PartRem_11_7     915.5664      0.3     915.5664      0.0000  0.0000  Tradeoff_52bits_DW01_add_334
div_118_u_div_u_add_PartRem_12_1     971.8128      0.3     971.8128      0.0000  0.0000  Tradeoff_52bits_DW01_add_358
div_118_u_div_u_add_PartRem_12_2     874.9440      0.3     874.9440      0.0000  0.0000  Tradeoff_52bits_DW01_add_372
div_118_u_div_u_add_PartRem_12_3     884.3184      0.3     884.3184      0.0000  0.0000  Tradeoff_52bits_DW01_add_322
div_118_u_div_u_add_PartRem_12_4     881.1936      0.3     881.1936      0.0000  0.0000  Tradeoff_52bits_DW01_add_345
div_118_u_div_u_add_PartRem_12_5     928.0656      0.3     928.0656      0.0000  0.0000  Tradeoff_52bits_DW01_add_400
div_118_u_div_u_add_PartRem_12_6     862.4448      0.3     862.4448      0.0000  0.0000  Tradeoff_52bits_DW01_add_305
div_118_u_div_u_add_PartRem_12_7     962.4384      0.3     962.4384      0.0000  0.0000  Tradeoff_52bits_DW01_add_335
div_118_u_div_u_add_PartRem_13_1     871.8192      0.3     871.8192      0.0000  0.0000  Tradeoff_52bits_DW01_add_359
div_118_u_div_u_add_PartRem_13_2     846.8208      0.3     846.8208      0.0000  0.0000  Tradeoff_52bits_DW01_add_373
div_118_u_div_u_add_PartRem_13_3     856.1952      0.3     856.1952      0.0000  0.0000  Tradeoff_52bits_DW01_add_323
div_118_u_div_u_add_PartRem_13_4     968.6880      0.3     968.6880      0.0000  0.0000  Tradeoff_52bits_DW01_add_346
div_118_u_div_u_add_PartRem_13_5    1028.0592      0.4    1028.0592      0.0000  0.0000  Tradeoff_52bits_DW01_add_401
div_118_u_div_u_add_PartRem_13_6     956.1888      0.3     956.1888      0.0000  0.0000  Tradeoff_52bits_DW01_add_306
div_118_u_div_u_add_PartRem_13_7     887.4432      0.3     887.4432      0.0000  0.0000  Tradeoff_52bits_DW01_add_336
div_118_u_div_u_add_PartRem_14_1     874.9440      0.3     874.9440      0.0000  0.0000  Tradeoff_52bits_DW01_add_384
div_118_u_div_u_add_PartRem_14_2     853.0704      0.3     853.0704      0.0000  0.0000  Tradeoff_52bits_DW01_add_385
div_118_u_div_u_add_PartRem_14_3     887.4432      0.3     887.4432      0.0000  0.0000  Tradeoff_52bits_DW01_add_402
div_118_u_div_u_add_PartRem_14_4     884.3184      0.3     884.3184      0.0000  0.0000  Tradeoff_52bits_DW01_add_405
div_118_u_div_u_add_PartRem_14_5     893.6928      0.3     893.6928      0.0000  0.0000  Tradeoff_52bits_DW01_add_404
div_118_u_div_u_add_PartRem_14_6     946.8144      0.3     946.8144      0.0000  0.0000  Tradeoff_52bits_DW01_add_338
div_118_u_div_u_add_PartRem_14_7     918.6912      0.3     918.6912      0.0000  0.0000  Tradeoff_52bits_DW01_add_307
div_118_u_div_u_add_PartRem_15_1     903.0672      0.3     903.0672      0.0000  0.0000  Tradeoff_52bits_DW01_add_388
div_118_u_div_u_add_PartRem_15_2    1128.0528      0.4    1128.0528      0.0000  0.0000  Tradeoff_52bits_DW01_add_411
div_118_u_div_u_add_PartRem_15_3     871.8192      0.3     871.8192      0.0000  0.0000  Tradeoff_52bits_DW01_add_386
div_118_u_div_u_add_PartRem_15_4     912.4416      0.3     912.4416      0.0000  0.0000  Tradeoff_52bits_DW01_add_415
div_118_u_div_u_add_PartRem_15_5     893.6928      0.3     893.6928      0.0000  0.0000  Tradeoff_52bits_DW01_add_408
div_118_u_div_u_add_PartRem_15_6     965.5632      0.3     965.5632      0.0000  0.0000  Tradeoff_52bits_DW01_add_407
div_118_u_div_u_add_PartRem_15_7     931.1904      0.3     931.1904      0.0000  0.0000  Tradeoff_52bits_DW01_add_308
div_118_u_div_u_add_PartRem_16_1     868.6944      0.3     868.6944      0.0000  0.0000  Tradeoff_52bits_DW01_add_410
div_118_u_div_u_add_PartRem_16_2     931.1904      0.3     931.1904      0.0000  0.0000  Tradeoff_52bits_DW01_add_406
div_118_u_div_u_add_PartRem_16_3     859.3200      0.3     859.3200      0.0000  0.0000  Tradeoff_52bits_DW01_add_413
div_118_u_div_u_add_PartRem_16_4    1028.0592      0.4    1028.0592      0.0000  0.0000  Tradeoff_52bits_DW01_add_416
div_118_u_div_u_add_PartRem_16_5     896.8176      0.3     896.8176      0.0000  0.0000  Tradeoff_52bits_DW01_add_414
div_118_u_div_u_add_PartRem_16_6     928.0656      0.3     928.0656      0.0000  0.0000  Tradeoff_52bits_DW01_add_309
div_118_u_div_u_add_PartRem_16_7     931.1904      0.3     931.1904      0.0000  0.0000  Tradeoff_52bits_DW01_add_340
div_118_u_div_u_add_PartRem_17_1     771.8256      0.3     771.8256      0.0000  0.0000  Tradeoff_52bits_DW01_add_412
div_118_u_div_u_add_PartRem_17_2     878.0688      0.3     878.0688      0.0000  0.0000  Tradeoff_52bits_DW01_add_382
div_118_u_div_u_add_PartRem_17_3     871.8192      0.3     871.8192      0.0000  0.0000  Tradeoff_52bits_DW01_add_387
div_118_u_div_u_add_PartRem_17_4     784.3248      0.3     784.3248      0.0000  0.0000  Tradeoff_52bits_DW01_add_409
div_118_u_div_u_add_PartRem_17_5     812.4480      0.3     812.4480      0.0000  0.0000  Tradeoff_52bits_DW01_add_310
div_118_u_div_u_add_PartRem_17_6     849.9456      0.3     849.9456      0.0000  0.0000  Tradeoff_52bits_DW01_add_172
div_118_u_div_u_add_PartRem_17_7     943.6896      0.3     943.6896      0.0000  0.0000  Tradeoff_52bits_DW01_add_173
div_118_u_div_u_add_PartRem_1_1      928.0656      0.3     928.0656      0.0000  0.0000  Tradeoff_52bits_DW01_add_360
div_118_u_div_u_add_PartRem_1_2      909.3168      0.3     909.3168      0.0000  0.0000  Tradeoff_52bits_DW01_add_374
